Timestamp,Which workshop did you attend?,"Compared to before this session, how familiar are you with the topics covered in the workshop?",How much practical knowledge did you gain from this session?,How do you imagine you will apply what you've learned?,Are you inspired to learn more about the topic in the future?,"On your way to R mastery, where are you now?",What is one thing you liked about the workshop? Please be as descriptive as possible.,What is one thing you would change about this workshop? Please be as descriptive as possible.,Any other comments?
6/2/2018 15:44:44,A gRadual intRoduction to Data Visualization,More familiar.,A great deal!,"As an undergraduate student, this will be useful in my future career.",Yes,1,very helpful and supportive people,"it felt like a lot of information all at once, but that's not necessarily bad. I feel like I got a lot out of it.",
6/2/2018 15:46:06,A gRadual intRoduction to Data Visualization,Less familiar.,A great deal!,,Yes,1,Troubleshooting with others,Most scaffolding for some topics,
6/2/2018 15:48:27,A gRadual intRoduction to Data Visualization,More familiar.,Some practical knowledge.,,Yes,1,I liked learning more about how to create visuals. ,Are there ways to get familiar with some of these projects ahead of time for very novice R users? ,
6/2/2018 17:01:58,A gRadual intRoduction to Data Visualization,More familiar.,A great deal!,Use R more!  Love the colors and layers.,Yes,1,Hands on!,"Written solutions for the open ended exercises in case I can't solve them, I don't get behind.",Great job!
6/3/2018 20:39:55,A gRadual intRoduction to Data Visualization,More familiar.,A great deal!,using ggplot2 to graph my own data,Yes,1,A very nice intro to ggplot2. I liked how each section built upon previous knowledge. Definitely the highlight of the conference for me.,I would like more to be covered if possible. It felt a little slow at times. The issue with plotly was a bummer but understandable that those things happen.,PLEASE do a more advanced ggplot2 related workshop next year!
6/6/2018 12:34:13,A gRadual intRoduction to Data Visualization,Equally familiar.,Some practical knowledge.,,Yes,3,"It was cool to create interactive graphs, but it was unfortunate that time ran out. ",Ensure package management / version control so that everybody is on the same page!,
6/6/2018 13:48:02,A gRadual intRoduction to Data Visualization,More familiar.,A great deal!,I am working on a project and this experience will make it easier for me to complete it.,Yes,2,Workshops were very well organized and therefore easy to follow. Thank you!,"This is not necessarily about changing anything about the workshops, but the instructors should be aware that it can be disorienting when they quickly scroll through the instructions on the screen or don't leave them up long enough. That was probably my biggest challenge.",See above.
6/6/2018 21:49:10,A gRadual intRoduction to Data Visualization,More familiar.,Some practical knowledge.,The workshop notes and practices were very helpful--I look forward to exploring them more on my own,Yes,2,The approachability of the instructors and TA's.  They were patient and helpful,"I think a couple of ""Top 10"" data munging tricks--especially for combining multiple csv's and getting date-times and GPS coordinate data worked out when creating data frames. They can be sticky and frustrating",
6/9/2018 11:31:34,A gRadual intRoduction to Data Visualization,More familiar.,A great deal!,In everyday data wrangling,Yes,2,The challenges were a nice way to engage with those seated around me,"There was a little bug in the example code, which took a little while to figure out. It was in the plotly package, and was a bit distracting from the main objective of the workshop.",
6/2/2018 11:57:40,A gRadual intRoduction to Data Wrangling,More familiar.,Some practical knowledge.,work!,Yes,1,very clear examples,kinda slow if you are already a programmer (or even just know SQL),nope!
6/2/2018 11:58:38,A gRadual intRoduction to Data Wrangling,More familiar.,Some practical knowledge.,Daily!,Yes,2,I like the format of having time to work through examples interspersed with lecture.,Not sure.,
6/2/2018 11:58:41,A gRadual intRoduction to Data Wrangling,More familiar.,A great deal!,going through data in my research,Yes,1,Took the whole process step by step and provided a lot of good examples to work off of. ,Some more time dedicated to the practice problems,
6/2/2018 11:58:43,A gRadual intRoduction to Data Wrangling,Less familiar.,A great deal!,,Maybe,2,-, -,
6/2/2018 11:59:02,A gRadual intRoduction to Data Wrangling,More familiar.,Some practical knowledge.,,Yes,1,Getting a better handle on different types of packages. ,"I am very, very new to R! So just gaining the exposure was helpful for me. I wasn't quite able to keep up, but still learned lots. ",
